chr1p,1,0,125000000
chr1q,1,125000000,249250621
chr2p,2,0,93300000
chr2q,2,93300000,243199373
chr3p,3,0,91000000
chr3q,3,91000000,198022430
chr4p,4,0,50400000
chr4q,4,50400000,191154276
chr5p,5,0,48400000
chr5q,5,48400000,180915260
chr6p,6,0,61000000
chr6q,6,61000000,171115067
chr7p,7,0,59900000
chr7q,7,59900000,159138663
chr8p,8,0,45600000
chr8q,8,45600000,146364022
chr9p,9,0,49000000
chr9q,9,49000000,141213431
chr10p,10,0,40200000
chr10q,10,40200000,135534747
chr11p,11,0,53700000
chr11q,11,53700000,135006516
chr12p,12,0,35800000
chr12q,12,35800000,133851895
chr13p,13,0,17900000
chr13q,13,17900000,115169878
chr14p,14,0,17600000
chr14q,14,17600000,107349540
chr15p,15,0,19000000
chr15q,15,19000000,102531392
chr16p,16,0,36600000
chr16q,16,36600000,90354753
chr17p,17,0,24000000
chr17q,17,24000000,81195210
chr18p,18,0,17200000
chr18q,18,17200000,78077248
chr19p,19,0,26500000
chr19q,19,26500000,59128983
chr20p,20,0,27500000
chr20q,20,27500000,63025520
chr21p,21,0,13200000
chr21q,21,13200000,48129895
chr22p,22,0,14700000
chr22q,22,14700000,51304566
chrXp,X,0,60600000
chrXq,X,60600000,155270560
chrYp,Y,0,12500000
chrYq,Y,12500000,59373566
